"","Crime.Type","Crime.Solved","Victim.Sex","Victim.Age","Victim.Race","Perpetrator.Sex","Perpetrator.Age","Perpetrator.Race","Relationship","Weapon"
"624180","Murder or Manslaughter","No","Female",24,"White","Unknown",0,"Unknown","Unknown","Shotgun"
"624181","Murder or Manslaughter","No","Male",26,"White","Unknown",0,"Unknown","Unknown","Shotgun"
"624182","Murder or Manslaughter","Yes","Female",46,"White","Male",42,"White","Wife","Firearm"
"624183","Murder or Manslaughter","No","Male",37,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624184","Murder or Manslaughter","No","Female",42,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624185","Murder or Manslaughter","Yes","Female",54,"White","Female",37,"White","Unknown","Fire"
"624186","Murder or Manslaughter","Yes","Female",32,"Black","Male",45,"Black","Unknown","Unknown"
"624187","Murder or Manslaughter","Yes","Male",29,"White","Male",40,"White","Unknown","Handgun"
"624188","Murder or Manslaughter","Yes","Male",30,"White","Male",40,"White","Unknown","Handgun"
"624189","Murder or Manslaughter","Yes","Male",40,"White","Male",40,"White","Unknown","Handgun"
"624190","Murder or Manslaughter","Yes","Male",8,"White","Male",40,"White","Unknown","Handgun"
"624191","Murder or Manslaughter","Yes","Male",10,"White","Male",40,"White","Unknown","Handgun"
"624192","Murder or Manslaughter","Yes","Male",29,"White","Male",40,"White","Friend","Firearm"
"624193","Murder or Manslaughter","Yes","Female",37,"White","Male",40,"White","Unknown","Handgun"
"624194","Murder or Manslaughter","Yes","Male",36,"White","Male",40,"White","Friend","Firearm"
"624195","Murder or Manslaughter","Yes","Male",43,"White","Male",40,"White","Unknown","Handgun"
"624196","Murder or Manslaughter","Yes","Male",30,"White","Male",40,"White","Friend","Firearm"
"624197","Murder or Manslaughter","Yes","Male",41,"White","Male",40,"White","Unknown","Handgun"
"624198","Murder or Manslaughter","Yes","Male",29,"White","Male",40,"White","Friend","Firearm"
"624199","Murder or Manslaughter","Yes","Female",12,"White","Male",40,"White","Unknown","Handgun"
"624200","Murder or Manslaughter","Yes","Unknown",998,"Unknown","Male",40,"White","Friend","Firearm"
"624201","Murder or Manslaughter","Yes","Male",57,"White","Male",40,"White","Unknown","Handgun"
"624202","Murder or Manslaughter","Yes","Male",31,"White","Male",40,"White","Friend","Firearm"
"624203","Murder or Manslaughter","No","Male",47,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624204","Murder or Manslaughter","Yes","Female",17,"Black","Male",26,"Black","Girlfriend","Firearm"
"624205","Murder or Manslaughter","Yes","Male",41,"Black","Male",28,"Black","Unknown","Firearm"
"624206","Murder or Manslaughter","Yes","Male",30,"Black","Male",29,"Black","Unknown","Firearm"
"624207","Murder or Manslaughter","Yes","Male",20,"Black","Male",30,"Black","Unknown","Handgun"
"624208","Murder or Manslaughter","Yes","Male",20,"Black","Male",22,"Black","Unknown","Handgun"
"624209","Murder or Manslaughter","No","Male",68,"Black","Unknown",0,"Unknown","Unknown","Unknown"
"624210","Murder or Manslaughter","Yes","Female",32,"Black","Male",54,"Black","Unknown","Knife"
"624211","Murder or Manslaughter","Yes","Male",26,"Black","Male",32,"Black","Unknown","Handgun"
"624212","Murder or Manslaughter","Yes","Female",33,"White","Male",26,"White","Girlfriend","Suffocation"
"624213","Murder or Manslaughter","No","Unknown",50,"Unknown","Unknown",0,"Unknown","Unknown","Firearm"
"624214","Murder or Manslaughter","Yes","Male",29,"White","Male",29,"White","Acquaintance","Unknown"
"624215","Murder or Manslaughter","No","Male",42,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624216","Murder or Manslaughter","No","Male",71,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624217","Murder or Manslaughter","No","Male",48,"White","Unknown",0,"Unknown","Unknown","Rifle"
"624218","Murder or Manslaughter","Yes","Male",52,"White","Female",52,"White","Acquaintance","Fire"
"624219","Murder or Manslaughter","Yes","Male",3,"White","Male",23,"White","Unknown","Handgun"
"624220","Murder or Manslaughter","No","Male",57,"White","Unknown",0,"Unknown","Unknown","Unknown"
"624221","Murder or Manslaughter","Yes","Female",44,"Black","Male",49,"Black","Unknown","Firearm"
"624222","Murder or Manslaughter","No","Female",65,"White","Unknown",0,"Unknown","Unknown","Knife"
"624223","Murder or Manslaughter","No","Male",55,"White","Unknown",0,"Unknown","Unknown","Unknown"
"624224","Murder or Manslaughter","Yes","Female",78,"White","Male",78,"White","Unknown","Shotgun"
"624225","Murder or Manslaughter","Yes","Female",58,"White","Male",21,"White","Unknown","Firearm"
"624226","Murder or Manslaughter","Yes","Male",25,"Black","Male",30,"Black","Unknown","Handgun"
"624227","Murder or Manslaughter","Yes","Male",62,"White","Male",21,"White","Unknown","Firearm"
"624228","Murder or Manslaughter","Yes","Male",26,"Black","Male",30,"Black","Unknown","Handgun"
"624229","Murder or Manslaughter","No","Male",18,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"624230","Murder or Manslaughter","Yes","Male",19,"Black","Male",28,"Black","Friend","Handgun"
"624231","Murder or Manslaughter","No","Male",26,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"624232","Murder or Manslaughter","Yes","Male",56,"Black","Male",0,"Black","Unknown","Handgun"
"624233","Murder or Manslaughter","Yes","Male",41,"Black","Male",57,"Black","Acquaintance","Knife"
"624234","Murder or Manslaughter","Yes","Male",43,"White","Male",38,"White","Acquaintance","Handgun"
"624235","Murder or Manslaughter","Yes","Male",21,"Black","Male",41,"Black","Unknown","Handgun"
"624236","Murder or Manslaughter","No","Male",61,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"624237","Murder or Manslaughter","No","Unknown",998,"Unknown","Unknown",0,"Unknown","Unknown","Firearm"
"624238","Murder or Manslaughter","Yes","Male",68,"White","Male",68,"White","Unknown","Handgun"
"624239","Murder or Manslaughter","Yes","Male",27,"Black","Male",0,"Black","Unknown","Unknown"
"624240","Murder or Manslaughter","No","Male",57,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"624241","Murder or Manslaughter","No","Male",28,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"624242","Murder or Manslaughter","No","Unknown",998,"Unknown","Unknown",0,"Unknown","Unknown","Fire"
"624243","Murder or Manslaughter","Yes","Male",25,"Black","Male",21,"Black","Acquaintance","Rifle"
"624244","Murder or Manslaughter","Yes","Female",23,"Black","Male",30,"Black","Girlfriend","Handgun"
"624245","Murder or Manslaughter","No","Male",51,"White","Unknown",50,"Unknown","Unknown","Firearm"
"624246","Murder or Manslaughter","Yes","Male",31,"White","Male",23,"Black","Unknown","Firearm"
"624247","Murder or Manslaughter","Yes","Male",998,"White","Male",29,"White","Son","Shotgun"
"624248","Murder or Manslaughter","No","Male",70,"White","Unknown",0,"Unknown","Unknown","Unknown"
"624249","Murder or Manslaughter","Yes","Male",42,"White","Male",64,"Black","Unknown","Handgun"
"624250","Murder or Manslaughter","Yes","Female",42,"Black","Female",20,"Black","Unknown","Knife"
"624251","Murder or Manslaughter","No","Female",38,"Black","Unknown",50,"Unknown","Unknown","Knife"
"624252","Murder or Manslaughter","Yes","Female",21,"Black","Female",27,"Black","Unknown","Knife"
"624253","Murder or Manslaughter","Yes","Unknown",998,"Unknown","Male",21,"Black","Acquaintance","Handgun"
"624254","Murder or Manslaughter","Yes","Unknown",998,"Unknown","Male",21,"Black","Acquaintance","Handgun"
"624255","Murder or Manslaughter","Yes","Female",38,"Black","Female",30,"Black","Unknown","Handgun"
"624256","Murder or Manslaughter","Yes","Male",24,"Black","Male",22,"Black","Unknown","Firearm"
"624257","Murder or Manslaughter","Yes","Female",21,"Black","Male",24,"Black","Unknown","Fire"
"624258","Murder or Manslaughter","Yes","Male",17,"Black","Male",18,"Black","Unknown","Firearm"
"624259","Murder or Manslaughter","No","Male",31,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"624260","Murder or Manslaughter","Yes","Male",31,"Black","Male",21,"Black","Acquaintance","Handgun"
"624261","Murder or Manslaughter","Yes","Female",72,"White","Male",35,"White","Family","Unknown"
"624262","Murder or Manslaughter","Yes","Male",40,"White","Female",36,"White","Boyfriend","Shotgun"
"624263","Murder or Manslaughter","Yes","Male",40,"White","Female",36,"White","Boyfriend","Shotgun"
"624264","Murder or Manslaughter","Yes","Male",58,"White","Female",55,"White","Unknown","Handgun"
"624265","Murder or Manslaughter","Yes","Male",63,"White","Female",35,"White","Unknown","Knife"
"624266","Murder or Manslaughter","Yes","Female",36,"White","Male",24,"White","Stranger","Unknown"
"624267","Murder or Manslaughter","Yes","Female",22,"White","Male",38,"Black","Unknown","Unknown"
"624268","Murder or Manslaughter","Yes","Male",28,"White","Male",35,"Black","Stranger","Knife"
"624269","Murder or Manslaughter","Yes","Male",2,"Black","Male",20,"Black","Son","Drugs"
"624270","Murder or Manslaughter","Yes","Male",26,"White","Male",27,"White","Friend","Handgun"
"624271","Murder or Manslaughter","Yes","Female",29,"Black","Male",31,"Black","Unknown","Unknown"
"624272","Murder or Manslaughter","Yes","Female",86,"White","Male",38,"White","Mother","Shotgun"
"624273","Murder or Manslaughter","Yes","Female",48,"Black","Male",21,"Black","Unknown","Handgun"
"624274","Murder or Manslaughter","No","Male",44,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"624275","Murder or Manslaughter","Yes","Male",24,"Black","Male",20,"Black","Unknown","Firearm"
"624276","Murder or Manslaughter","Yes","Male",31,"Black","Male",17,"Black","Unknown","Firearm"
"624277","Murder or Manslaughter","Yes","Male",22,"Black","Male",27,"Black","Unknown","Handgun"
"624278","Murder or Manslaughter","Yes","Male",29,"Black","Male",20,"Black","Unknown","Firearm"
"624279","Murder or Manslaughter","Yes","Male",21,"Black","Male",28,"Black","Unknown","Firearm"
"624280","Murder or Manslaughter","Yes","Female",15,"Black","Male",48,"Black","Unknown","Firearm"
"624281","Murder or Manslaughter","Yes","Male",44,"Black","Male",29,"Black","Unknown","Handgun"
"624282","Murder or Manslaughter","Yes","Male",26,"Black","Male",21,"Black","Brother","Firearm"
"624283","Murder or Manslaughter","Yes","Male",60,"Black","Male",30,"Black","Father","Blunt Object"
"624284","Murder or Manslaughter","Yes","Female",32,"Unknown","Male",32,"Unknown","Girlfriend","Firearm"
"624285","Murder or Manslaughter","Yes","Female",56,"Black","Male",40,"Black","Unknown","Knife"
"624286","Murder or Manslaughter","Yes","Male",50,"White","Male",50,"White","Unknown","Unknown"
"624287","Murder or Manslaughter","Yes","Male",61,"White","Female",61,"Black","Husband","Knife"
"624288","Murder or Manslaughter","Yes","Male",25,"Black","Male",23,"Black","Unknown","Handgun"
"624289","Murder or Manslaughter","Yes","Male",20,"Black","Male",21,"Black","Unknown","Firearm"
"624290","Murder or Manslaughter","Yes","Male",45,"Black","Male",30,"White","Unknown","Firearm"
"624291","Murder or Manslaughter","Yes","Male",38,"Black","Male",35,"Black","Unknown","Firearm"
"624292","Murder or Manslaughter","Yes","Male",29,"Black","Male",29,"Black","Unknown","Blunt Object"
"624293","Murder or Manslaughter","Yes","Male",19,"Black","Male",22,"Black","Unknown","Firearm"
"624294","Murder or Manslaughter","Yes","Male",41,"Black","Male",25,"Black","Unknown","Firearm"
"624295","Murder or Manslaughter","Yes","Male",33,"Black","Male",35,"Black","Family","Firearm"
"624296","Murder or Manslaughter","Yes","Male",21,"Black","Male",21,"Black","Unknown","Handgun"
"624297","Murder or Manslaughter","Yes","Male",21,"Black","Male",29,"Black","Unknown","Handgun"
"624298","Murder or Manslaughter","Yes","Male",26,"Black","Male",0,"Black","Unknown","Firearm"
"624299","Murder or Manslaughter","Yes","Male",21,"Black","Male",20,"Black","Acquaintance","Firearm"
"624300","Murder or Manslaughter","No","Male",20,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624301","Murder or Manslaughter","Yes","Female",44,"Black","Male",63,"Black","Unknown","Handgun"
"624302","Murder or Manslaughter","Yes","Male",53,"White","Female",23,"White","Father","Knife"
"624303","Murder or Manslaughter","Yes","Male",41,"Black","Male",31,"Black","Unknown","Unknown"
"624304","Murder or Manslaughter","Yes","Male",27,"Black","Male",27,"Black","Unknown","Unknown"
"624305","Murder or Manslaughter","Yes","Male",39,"Black","Male",45,"Black","Unknown","Blunt Object"
"624306","Murder or Manslaughter","Yes","Male",52,"White","Male",23,"White","Unknown","Firearm"
"624307","Murder or Manslaughter","No","Male",16,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"624308","Murder or Manslaughter","No","Male",21,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"624309","Murder or Manslaughter","No","Male",25,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"624310","Murder or Manslaughter","Yes","Female",48,"White","Male",50,"White","Stranger","Handgun"
"624311","Murder or Manslaughter","No","Male",43,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"624312","Murder or Manslaughter","Yes","Female",60,"White","Male",38,"White","Mother","Shotgun"
"624313","Murder or Manslaughter","Yes","Male",37,"Black","Male",0,"Black","Unknown","Handgun"
"624314","Murder or Manslaughter","Yes","Male",33,"White","Male",32,"Black","Unknown","Handgun"
"624315","Murder or Manslaughter","Yes","Male",42,"Black","Male",21,"Black","Acquaintance","Knife"
"624316","Murder or Manslaughter","No","Male",64,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624317","Murder or Manslaughter","Yes","Male",19,"Black","Male",21,"Black","Stranger","Handgun"
"624318","Murder or Manslaughter","Yes","Male",18,"Black","Male",51,"Black","Unknown","Unknown"
"624319","Murder or Manslaughter","Yes","Male",28,"White","Male",17,"Black","Acquaintance","Handgun"
"624320","Murder or Manslaughter","Yes","Male",38,"Black","Female",24,"White","Boyfriend","Knife"
"624321","Murder or Manslaughter","Yes","Male",33,"Black","Male",26,"Black","Unknown","Unknown"
"624322","Murder or Manslaughter","Yes","Male",39,"White","Male",28,"Black","Acquaintance","Handgun"
"624323","Murder or Manslaughter","Yes","Female",18,"White","Male",49,"White","Wife","Handgun"
"624324","Murder or Manslaughter","Yes","Male",47,"White","Male",0,"White","Unknown","Knife"
"624325","Murder or Manslaughter","Yes","Female",45,"White","Male",49,"White","Wife","Handgun"
"624326","Murder or Manslaughter","Yes","Unknown",998,"Unknown","Male",63,"White","Unknown","Handgun"
"624327","Murder or Manslaughter","Yes","Male",60,"Asian/Pacific Islander","Male",23,"White","Unknown","Knife"
"624328","Murder or Manslaughter","Yes","Male",28,"White","Male",32,"White","Unknown","Handgun"
"624329","Murder or Manslaughter","Yes","Male",34,"Unknown","Male",23,"White","Unknown","Firearm"
"624330","Murder or Manslaughter","Yes","Female",22,"White","Male",21,"White","Girlfriend","Knife"
"624331","Murder or Manslaughter","Yes","Male",35,"White","Male",22,"White","Unknown","Firearm"
"624332","Murder or Manslaughter","Yes","Female",32,"White","Male",19,"White","Friend","Knife"
"624333","Murder or Manslaughter","Yes","Male",61,"White","Male",26,"White","Father","Handgun"
"624334","Murder or Manslaughter","Yes","Male",32,"White","Male",24,"White","Acquaintance","Knife"
"624335","Murder or Manslaughter","Yes","Female",45,"White","Male",39,"White","Unknown","Handgun"
"624336","Murder or Manslaughter","Yes","Male",71,"White","Male",50,"White","In-Law","Firearm"
"624337","Murder or Manslaughter","Yes","Male",48,"White","Male",41,"White","Acquaintance","Rifle"
"624338","Murder or Manslaughter","Yes","Male",52,"White","Male",18,"White","Stepson","Handgun"
"624339","Murder or Manslaughter","Yes","Male",65,"White","Male",54,"White","Acquaintance","Unknown"
"624340","Murder or Manslaughter","Yes","Female",28,"White","Male",35,"White","Girlfriend","Knife"
"624341","Murder or Manslaughter","Yes","Female",998,"White","Male",26,"White","Daughter","Shotgun"
"624342","Murder or Manslaughter","Yes","Male",39,"White","Male",31,"White","Stranger","Handgun"
"624343","Murder or Manslaughter","Yes","Male",74,"White","Male",60,"White","Acquaintance","Handgun"
"624344","Murder or Manslaughter","Yes","Male",32,"White","Male",26,"White","Acquaintance","Handgun"
"624345","Murder or Manslaughter","No","Male",25,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624346","Murder or Manslaughter","Yes","Male",84,"White","Male",73,"White","Unknown","Firearm"
"624347","Murder or Manslaughter","Yes","Male",56,"White","Male",35,"Native American/Alaska Native","Unknown","Suffocation"
"624348","Manslaughter by Negligence","Yes","Male",30,"White","Male",32,"White","Unknown","Unknown"
"624349","Murder or Manslaughter","Yes","Female",62,"White","Male",71,"White","Unknown","Handgun"
"624350","Murder or Manslaughter","Yes","Female",52,"White","Male",18,"White","Mother","Blunt Object"
"624351","Murder or Manslaughter","Yes","Male",38,"White","Male",54,"White","Acquaintance","Handgun"
"624352","Murder or Manslaughter","Yes","Male",24,"White","Male",28,"White","Stranger","Handgun"
"624353","Murder or Manslaughter","Yes","Male",28,"Native American/Alaska Native","Male",24,"Unknown","Family","Knife"
"624354","Murder or Manslaughter","Yes","Male",33,"Native American/Alaska Native","Male",36,"White","Friend","Knife"
"624355","Manslaughter by Negligence","Yes","Male",2,"White","Male",77,"White","Acquaintance","Handgun"
"624356","Murder or Manslaughter","Yes","Male",24,"White","Male",24,"White","Friend","Handgun"
"624357","Murder or Manslaughter","Yes","Male",50,"White","Male",20,"White","Unknown","Blunt Object"
"624358","Murder or Manslaughter","Yes","Male",34,"White","Male",23,"White","Friend","Handgun"
"624359","Murder or Manslaughter","Yes","Male",27,"Black","Male",21,"White","Acquaintance","Handgun"
"624360","Murder or Manslaughter","Yes","Male",31,"White","Male",27,"White","Unknown","Blunt Object"
"624361","Murder or Manslaughter","No","Female",24,"White","Unknown",0,"Unknown","Unknown","Unknown"
"624362","Murder or Manslaughter","Yes","Male",51,"White","Male",25,"White","Unknown","Handgun"
"624363","Murder or Manslaughter","Yes","Male",28,"White","Male",43,"White","Stranger","Handgun"
"624364","Murder or Manslaughter","Yes","Male",69,"White","Male",41,"White","Stepfather","Gun"
"624365","Murder or Manslaughter","Yes","Female",19,"White","Male",21,"White","Girlfriend","Handgun"
"624366","Murder or Manslaughter","Yes","Male",27,"White","Male",34,"White","Acquaintance","Unknown"
"624367","Murder or Manslaughter","Yes","Male",26,"White","Male",53,"White","Stranger","Handgun"
"624368","Murder or Manslaughter","No","Male",42,"White","Unknown",0,"Unknown","Unknown","Fire"
"624369","Murder or Manslaughter","Yes","Male",59,"White","Male",36,"White","Stranger","Handgun"
"624370","Murder or Manslaughter","No","Male",35,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624371","Murder or Manslaughter","Yes","Male",27,"White","Male",34,"White","Acquaintance","Firearm"
"624372","Murder or Manslaughter","Yes","Male",23,"White","Male",48,"White","Acquaintance","Handgun"
"624373","Murder or Manslaughter","Yes","Male",21,"White","Female",35,"White","Unknown","Handgun"
"624374","Murder or Manslaughter","No","Male",52,"White","Unknown",0,"Unknown","Unknown","Blunt Object"
"624375","Murder or Manslaughter","Yes","Female",15,"White","Male",17,"White","Girlfriend","Handgun"
"624376","Manslaughter by Negligence","No","Female",3,"Black","Unknown",0,"Unknown","Unknown","Unknown"
"624377","Murder or Manslaughter","Yes","Male",43,"White","Male",38,"White","Stranger","Handgun"
"624378","Murder or Manslaughter","Yes","Male",49,"Unknown","Male",25,"White","Stranger","Handgun"
"624379","Murder or Manslaughter","Yes","Male",35,"Native American/Alaska Native","Male",25,"White","Stranger","Handgun"
"624380","Manslaughter by Negligence","Yes","Female",24,"White","Male",31,"White","Girlfriend","Strangulation"
"624381","Murder or Manslaughter","Yes","Male",45,"White","Female",16,"White","Boyfriend","Strangulation"
"624382","Murder or Manslaughter","Yes","Male",43,"White","Male",0,"White","Unknown","Handgun"
"624383","Murder or Manslaughter","Yes","Male",36,"White","Male",31,"White","Acquaintance","Knife"
"624384","Murder or Manslaughter","Yes","Male",31,"White","Male",25,"White","Stranger","Handgun"
"624385","Murder or Manslaughter","Yes","Male",22,"Black","Male",31,"Black","Acquaintance","Handgun"
"624386","Murder or Manslaughter","No","Male",24,"White","Unknown",0,"Unknown","Unknown","Knife"
"624387","Murder or Manslaughter","Yes","Male",29,"Black","Male",28,"Black","Acquaintance","Handgun"
"624388","Murder or Manslaughter","No","Male",53,"White","Unknown",0,"Unknown","Unknown","Blunt Object"
"624389","Murder or Manslaughter","Yes","Male",72,"White","Male",24,"White","Stranger","Handgun"
"624390","Murder or Manslaughter","Yes","Female",22,"White","Male",25,"Native American/Alaska Native","Girlfriend","Handgun"
"624391","Murder or Manslaughter","Yes","Male",0,"Black","Male",20,"Black","Son","Blunt Object"
"624392","Murder or Manslaughter","Yes","Male",18,"Black","Male",24,"Black","Acquaintance","Handgun"
"624393","Murder or Manslaughter","Yes","Female",25,"White","Male",29,"White","Girlfriend","Handgun"
"624394","Murder or Manslaughter","No","Male",59,"White","Unknown",0,"Unknown","Unknown","Knife"
"624395","Murder or Manslaughter","Yes","Male",20,"White","Male",29,"White","Son","Blunt Object"
"624396","Murder or Manslaughter","Yes","Male",41,"White","Male",27,"White","Acquaintance","Handgun"
"624397","Murder or Manslaughter","No","Male",42,"White","Unknown",0,"Unknown","Unknown","Blunt Object"
"624398","Murder or Manslaughter","Yes","Female",45,"White","Male",58,"White","Wife","Handgun"
"624399","Murder or Manslaughter","Yes","Male",23,"White","Male",51,"White","Stranger","Handgun"
"624400","Murder or Manslaughter","No","Male",53,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624401","Murder or Manslaughter","No","Male",53,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"624402","Murder or Manslaughter","Yes","Male",19,"White","Male",23,"Black","Unknown","Handgun"
"624403","Murder or Manslaughter","Yes","Female",1,"Black","Female",28,"Black","Daughter","Drowning"
"624404","Murder or Manslaughter","Yes","Male",22,"White","Male",21,"Black","Acquaintance","Rifle"
"624405","Murder or Manslaughter","Yes","Male",54,"White","Female",20,"White","Acquaintance","Knife"
"624406","Murder or Manslaughter","Yes","Male",26,"Native American/Alaska Native","Male",48,"Black","Acquaintance","Knife"
"624407","Murder or Manslaughter","No","Male",50,"White","Unknown",0,"Unknown","Unknown","Knife"
